TEC,TCTA,sequence,period_schedule
3828.0,244.0,"2,3,6,8,1,0,7,4,5,9","1,1,2;1,1,2;0,0,0;0,0,1;2,2,2;2,2,2;0,1,1;1,2,2;1,1,2;2,2,2"
3918.0,215.0,"2,3,1,0,8,6,7,4,5,9","1,1,1;0,1,1;0,0,0;0,0,1;2,2,2;2,2,2;1,1,2;1,2,2;1,1,1;2,2,2"
4674.0,208.0,"5,2,3,1,0,8,6,7,4,9","1,1,1;0,1,1;0,0,0;0,0,1;2,2,2;0,0,0;1,1,2;1,2,2;1,1,1;2,2,2"
3702.0,274.0,"3,1,0,8,6,7,4,5,9,2","1,1,1;0,1,1;2,2,2;0,0,1;2,2,2;2,2,2;1,1,2;1,2,2;1,1,1;2,2,2"
3870.0,242.0,"2,3,1,8,6,0,7,4,5,9","1,1,2;0,1,1;0,0,0;0,0,1;2,2,2;2,2,2;1,1,2;1,2,2;1,1,1;2,2,2"
4074.0,213.0,"2,3,1,0,8,6,4,7,5,9","1,1,1;0,1,1;0,0,0;0,0,1;1,2,2;2,2,2;1,1,2;2,2,2;1,1,1;2,2,2"
4686.0,204.0,"4,2,3,1,0,8,6,7,5,9","1,1,1;0,1,1;0,0,0;0,0,1;0,0,0;2,2,2;1,1,2;1,2,2;1,1,1;2,2,2"
3654.0,301.0,"3,1,8,6,0,7,4,5,9,2","1,1,2;0,1,1;2,2,2;0,0,1;2,2,2;2,2,2;1,1,2;1,2,2;1,1,1;2,2,2"
4038.0,214.0,"2,3,1,0,8,6,5,4,7,9","1,1,1;0,1,1;0,0,0;0,0,1;2,2,2;1,2,2;1,1,2;2,2,2;1,1,1;2,2,2"
3822.0,272.0,"3,1,0,8,6,5,4,7,9,2","1,1,1;0,1,1;2,2,2;0,0,1;2,2,2;1,2,2;1,1,2;2,2,2;1,1,1;2,2,2"
3876.0,241.0,"2,3,6,0,8,1,7,4,9,5","1,1,1;1,1,2;0,0,0;0,0,1;2,2,2;2,2,2;0,1,1;1,2,2;1,1,2;2,2,2"
